LED Ref,led order,ABSX,ABSY,RELX,RELY,CALx,CALy,KROW,KCOL,,
LED58,29,6.352494,1.219865,0,84.086516,0,59,0,0,,
LED51,22,25.402494,1.219865,19.05,7.4,16,5,0,1,,
LED50,21,44.452495,6.119865,38.100001,2.5,31,2,0,2,,
LED41,12,63.502494,8.619865,57.15,0,47,0,0,3,,
LED40,11,82.552494,6.119865,76.2,2.5,63,2,0,4,,
LED30,1,101.602494,3.619865,95.25,5,78,3,0,5,,
LED1,30,183.332506,3.619865,176.980012,5,146,3,0,6,,
LED11,40,202.382506,6.119865,196.030012,2.5,161,2,0,7,,
LED12,41,221.432506,8.619865,215.080012,0,177,0,0,8,,
LED21,50,240.482506,6.119865,234.130012,2.5,193,2,0,9,,
LED22,51,259.532506,1.219865,253.180012,7.4,208,5,0,10,,
LED29,58,278.582506,1.219865,272.230012,84.086516,224,59,0,11,,
LED57,28,6.352494,-17.830135,0,65.036516,0,45,1,0,,
LED52,23,25.402494,-17.830135,19.05,26.45,16,19,1,1,,
LED49,20,44.452494,-12.930135,38.1,69.936516,31,49,1,2,,
LED42,13,63.502494,-10.430135,57.15,19.05,47,13,1,3,,
LED39,10,82.552494,-12.930135,76.2,69.936516,63,49,1,4,,
LED31,2,101.602494,-15.430135,95.25,24.05,78,17,1,5,,
LED2,31,183.332506,-15.430135,176.980012,24.05,146,17,1,6,,
LED10,39,202.382506,-12.930135,196.030012,69.936516,161,49,1,7,,
LED13,42,221.432506,-10.430135,215.080012,19.05,177,13,1,8,,
LED20,49,240.482506,-12.930135,234.130012,69.936516,193,49,1,9,,
LED23,52,259.532506,-17.830135,253.180012,26.45,208,19,1,10,,
LED28,57,278.582506,-17.830135,272.230012,65.036516,224,45,1,11,,
LED56,27,6.352494,-36.880135,0,45.986516,0,32,2,0,,
LED53,24,25.402494,-36.880135,19.05,45.5,16,32,2,1,,
LED48,19,44.452494,-31.980135,38.1,50.886516,31,36,2,2,,
LED43,14,63.502494,-29.480135,57.15,38.1,47,27,2,3,,
LED38,9,82.552494,-31.980134,76.2,50.886517,63,36,2,4,,
LED32,3,101.602494,-34.480134,95.25,43.099999,78,30,2,5,,
LED3,32,183.332506,-34.480135,176.980012,43.1,146,30,2,6,,
LED9,38,202.382506,-31.980135,196.030012,50.886516,161,36,2,7,,
LED14,43,221.432506,-29.480135,215.080012,38.1,177,27,2,8,,
LED19,48,240.482506,-31.980135,234.130012,50.886516,193,36,2,9,,
LED24,53,259.532506,-36.880135,253.180012,45.5,208,32,2,10,,
LED27,56,278.582506,-36.880135,272.230012,45.986516,224,32,2,11,,
LED55,26,6.352494,-55.930135,0,26.936516,0,19,3,0,,
LED54,25,25.402494,-55.930135,19.05,64.55,16,45,3,1,,
LED47,18,44.452494,-51.030135,38.1,31.836516,31,22,3,2,,
LED44,15,63.502494,-48.530135,57.15,57.15,47,40,3,3,,
LED37,8,82.552494,-51.030136,76.2,31.836515,63,22,3,4,,
LED33,4,101.602495,-53.530135,95.250001,62.15,78,43,3,5,,
LED4,33,183.332506,-53.530135,176.980012,62.15,146,43,3,6,,
LED8,37,202.382506,-51.030135,196.030012,31.836516,161,22,3,7,,
LED15,44,221.432506,-48.530135,215.080012,57.15,177,40,3,8,,
LED18,47,240.482506,-51.030135,234.130012,31.836516,193,22,3,9,,
LED25,54,259.532506,-55.930135,253.180012,64.55,208,45,3,10,,
LED26,55,278.582506,-55.930135,272.230012,26.936516,224,19,3,11,,
LED46,17,44.452494,-70.080135,38.1,12.786516,31,9,4,0,,
LED45,16,63.502494,-67.580135,57.15,15.286516,47,11,4,1,,
LED36,7,82.552494,-70.080135,76.2,12.786516,63,9,4,2,,
LED35,6,105.812432,-74.949957,99.459938,7.916694,82,6,4,3,,
LED34,5,121.009359,-82.866651,114.656865,91.486516,94,64,4,4,,"no 5, 6 LEDs at encoders"
LED5,34,163.925641,-82.866651,157.573147,91.486516,130,64,4,7,,
LED6,35,179.122568,-74.949957,172.770074,7.916694,142,6,4,8,,
LED7,36,202.382506,-70.080135,196.030012,12.786516,161,9,4,9,,
LED16,45,221.432506,-67.580135,215.080012,15.286516,177,11,4,10,,
LED17,46,240.482506,-70.080135,234.130012,12.786516,193,9,4,11,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
