"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J2";"MJ-4PP-9";1;"4PIN";;;
2;"SW1,SW3,SW13,SW14,SW21,SW23,SW26,SW27,SW12,SW18,SW24,SW4,SW5,SW8,SW10,SW9,SW16,SW6,SW7,SW30,SW11,SW22,SW17,SW29,SW15,SW2,SW20,SW28,SW19";"Cherry_MX_DS_Hotswap_miniE_1U";29;"SW_PUSH_LED";;;
3;"J3";"OLED SSD1306 128x64 UNVERIFIED";1;"OLED";;;
4;"SW25";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm-keebio_modified";1;"Rotary_Encoder_Switch";;;
5;"TH4,TH6,TH3,TH5,TH8,TH7,TH2";"Hole from sofle for M2 posts gold rimmer";7;"HOLE";;;
6;"J1";"Pimaroni_PinHeader_1x05_P2.54mm_Vertical Sofle v3b";1;"Pimaroni Trackball";;;
7;"REF**";"Tenting_Puck.kicad_mod_nocenter";1;"Tenting Puck";;;
8;"U2";"SN74AHCT1G125 - Junco";1;"SN74AHCT1G125";;;
9;"TH1";"Hole from sofle for M2 posts gold rimmer";1;"HOLE";;;
10;"D1,D2,D3,D4,D5,D6,D13,D19,D25,D26,D7,D8,D9,D10,D11,D12,D27,D15,D17,D18,D28,D29,D24,D20,D21,D22,D23,D14,D30,D31,D16";"D_SOD-123_DO-35_Hybrid_DoubleSided_V2";31;"D";;;
11;"U3";"RPi_Pico_SMD_TH - Junco -DS Sofle v3b v3";1;"Pico";;;
